ID,Americas,EU,APAC,"missing
completely",Dupes,Database,,Schema,Type,Name,"comments
in column
AF?","# queries
","# users
","storage
in GB","mapped
AURORA
source product","mapped
AURORA
data product",comments,Data Model Availability,UAT Start Date,Go-live Date,,PRE-FILTER
ENRICH;BV_VEEVA_CRM_BPH_RESTRICTED_WORD_NOTIFICATION__C_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_BPH_RESTRICTED_WORD_NOTIFICATION__C_EC2,no,27991,6,0.43,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_VAULT_CAMPAIGN__C,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_VAULT_CAMPAIGN__C,no,27308,9,0,Vault,,,,,,,Veeva
ANALYTICS;DIM_VAULT_COUNTRY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_VAULT_COUNTRY,no,27228,10,0,Vault,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_ACCOUNT_PC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ACCOUNT_PC2,no,26982,30,4.925,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ANALYTICS;DIM_EMPLOYEE,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_EMPLOYEE,no,26904,166,1.098,Vault CRM,Employee 1.0 (Vault CRM),,Available,9/1/25,9/15/25,,Veeva
ANALYTICS;FACT_EQUP_CNTRCT,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,FACT_EQUP_CNTRCT,no,26871,24,0.135,SAP,Salesforce Radiology 1.0,,tbd,NN,tbd,,SAP
ENRICH;BV_VEEVA_CRM_EM_EVENT_VOD__C_AC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_EM_EVENT_VOD__C_AC2,no,26833,31,0.047,Vault CRM,,,,,,,Veeva
MODEL;S_VAULT_CAMPAIGN,0,0,0,1,,CPH_DB_PROD,,MODEL,BASE TABLE,S_VAULT_CAMPAIGN,no,26780,14,0,Vault,,,,,,,Veeva
ANALYTICS;FACT_APPROVED_EMAIL,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,FACT_APPROVED_EMAIL,no,26244,118,111.327,Vault CRM,Approved Email 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_LINK_SCIENTIFIC_EXPERT,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_LINK_SCIENTIFIC_EXPERT,no,26224,80,0.786,Veeva Link,Customer 3.0 (Veeva Link),,tbd,11/26/25,1/7/26,,Veeva
ENRICH;BV_BRIEF_DOC_TC,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_BRIEF_DOC_TC,no,25862,24,0.02,SFMC,Newsletter 1.0 (SFMC),,Available,Completed,2/11/25,,SFMC
ENRICH;BV_VEEVA_CRM_ADDRESS_VOD__C_PC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ADDRESS_VOD__C_PC1,no,25675,9,6.115,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ENRICH;BV_CDPSTTM_DATA_MODEL_SUMMARY,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_CDPSTTM_DATA_MODEL_SUMMARY,no,25016,21,0.003,,,,,,,,
ENRICH;BV_BRIEF_DOC_CEC,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_BRIEF_DOC_CEC,no,24227,30,0.008,SFMC,Newsletter 1.0 (SFMC),,Available,Completed,2/11/25,,SFMC
ENRICH;BV_VEEVA_CRM_ACCOUNT_AC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ACCOUNT_AC1,no,26356,40,43.114,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ANALYTICS;MAP_PRODUCT_TERRITORY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,MAP_PRODUCT_TERRITORY,no,23550,30,0.04,Vault Align,Territory & Alignment 1.0 (Veeva Align),,9/8/25,10/6/25,10/27/25,,Veeva
ENRICH;BV_VEEVA_VAULT_DOCUMENTS,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_VAULT_DOCUMENTS,no,23235,33,12.218,Vault,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_ADDRESS_VOD__C_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ADDRESS_VOD__C_EC1,no,22934,28,63.329,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
